experiment,plate,neuron_type,condition,stress_label,cell_line,als_label,well_row,well_col,number_of_channels,channel_1,channel_2,channel_3,channel_4,fov,number_of_planes,exclude
screenA,P1,D17,untreated,no_stress,CTRL1,control,2,2,3,DAPI,SFPQ,PABP,none,1,4,no
screenA,P1,D17,untreated,no_stress,CTRL1,control,2,2,3,DAPI,SFPQ,PABP,none,2,4,no
screenA,P1,D17,untreated,no_stress,CTRL1,control,2,2,3,DAPI,SFPQ,PABP,none,3,4,no
screenA,P1,D17,untreated,no_stress,CTRL1,control,2,2,3,DAPI,SFPQ,PABP,none,4,4,no
screenA,P1,D17,untreated,no_stress,CTRL1,control,2,2,3,DAPI,SFPQ,PABP,none,5,4,no
screenA,P1,D17,untreated,no_stress,CTRL1,control,2,2,3,DAPI,SFPQ,PABP,none,6,4,no
screenA,P1,D17,untreated,no_stress,CTRL1,control,2,2,3,DAPI,SFPQ,PABP,none,7,4,no
screenA,P1,D17,untreated,no_stress,CTRL1,control,2,2,3,DAPI,SFPQ,PABP,none,8,4,no
screenA,P1,D17,untreated,no_stress,CTRL1,control,2,2,3,DAPI,SFPQ,PABP,none,9,4,no
screenA,P1,D17,untreated,no_stress,CTRL1,control,2,2,3,DAPI,SFPQ,PABP,none,10,4,no
screenA,P1,D17,untreated,no_stress,CTRL1,control,2,2,3,DAPI,SFPQ,PABP,none,11,4,no
screenA,P1,D17,untreated,no_stress,CTRL1,control,2,2,3,DAPI,SFPQ,PABP,none,12,4,no
screenA,P1,D17,untreated,no_stress,CTRL1,control,3,2,3,DAPI,SFPQ,PABP,none,1,4,no
screenA,P1,D17,untreated,no_stress,CTRL1,control,3,2,3,DAPI,SFPQ,PABP,none,2,4,no
screenA,P1,D17,untreated,no_stress,CTRL1,control,3,2,3,DAPI,SFPQ,PABP,none,3,4,no
screenA,P1,D17,untreated,no_stress,CTRL1,control,3,2,3,DAPI,SFPQ,PABP,none,4,4,no
screenA,P1,D17,untreated,no_stress,CTRL1,control,3,2,3,DAPI,SFPQ,PABP,none,5,4,no
screenA,P1,D17,untreated,no_stress,CTRL1,control,3,2,3,DAPI,SFPQ,PABP,none,6,4,no
screenA,P1,D17,untreated,no_stress,CTRL1,control,3,2,3,DAPI,SFPQ,PABP,none,7,4,no
screenA,P1,D17,untreated,no_stress,CTRL1,control,3,2,3,DAPI,SFPQ,PABP,none,8,4,no
screenA,P1,D17,untreated,no_stress,CTRL1,control,3,2,3,DAPI,SFPQ,PABP,none,9,4,no
