experiment,plate,neuron_type,condition,stress_label,cell_line,als_label,well_row,well_col,number_of_channels,channel_1,channel_2,channel_3,channel_4,fov,number_of_planes,exclude
screenB,P4,D6,oxidative,stress,MUT1,als,4,6,4,DAPI,BIII,SFPQ,PABP,1,4,no
screenB,P4,D6,oxidative,stress,MUT1,als,4,6,4,DAPI,BIII,SFPQ,PABP,2,4,no
screenB,P4,D6,oxidative,stress,MUT1,als,4,6,4,DAPI,BIII,SFPQ,PABP,3,4,no
screenB,P4,D6,oxidative,stress,MUT1,als,4,6,4,DAPI,BIII,SFPQ,PABP,4,4,no
screenB,P4,D6,oxidative,stress,MUT1,als,4,6,4,DAPI,BIII,SFPQ,PABP,5,4,no
screenB,P4,D6,oxidative,stress,MUT1,als,4,6,4,DAPI,BIII,SFPQ,PABP,6,4,no
screenB,P4,D6,oxidative,stress,MUT1,als,4,6,4,DAPI,BIII,SFPQ,PABP,7,4,no
screenB,P4,D6,oxidative,stress,MUT1,als,4,6,4,DAPI,BIII,SFPQ,PABP,8,4,no
screenB,P4,D6,oxidative,stress,MUT1,als,4,6,4,DAPI,BIII,SFPQ,PABP,9,4,no
screenB,P4,D6,oxidative,stress,MUT1,als,4,6,4,DAPI,BIII,SFPQ,PABP,10,4,no
screenB,P4,D6,oxidative,stress,MUT1,als,5,6,4,DAPI,BIII,SFPQ,PABP,1,4,no
screenB,P4,D6,oxidative,stress,MUT1,als,5,6,4,DAPI,BIII,SFPQ,PABP,2,4,no
screenB,P4,D6,oxidative,stress,MUT1,als,5,6,4,DAPI,BIII,SFPQ,PABP,3,4,no
screenB,P4,D6,oxidative,stress,MUT1,als,5,6,4,DAPI,BIII,SFPQ,PABP,4,4,no
screenB,P4,D6,oxidative,stress,MUT1,als,5,6,4,DAPI,BIII,SFPQ,PABP,5,4,no
screenB,P4,D6,oxidative,stress,MUT1,als,5,6,4,DAPI,BIII,SFPQ,PABP,6,4,no
screenB,P4,D6,oxidative,stress,MUT1,als,5,6,4,DAPI,BIII,SFPQ,PABP,7,4,no
screenB,P4,D6,oxidative,stress,MUT1,als,5,6,4,DAPI,BIII,SFPQ,PABP,8,4,no
screenB,P4,D6,oxidative,stress,MUT1,als,5,6,4,DAPI,BIII,SFPQ,PABP,9,4,no
screenB,P4,D6,oxidative,stress,MUT1,als,5,6,4,DAPI,BIII,SFPQ,PABP,10,4,no
