experiment,plate,neuron_type,condition,stress_label,cell_line,als_label,well_row,well_col,number_of_channels,channel_1,channel_2,channel_3,channel_4,fov,number_of_planes,exclude
screenG,P18,D6,heat,stress,CTRL1,control,2,2,4,DAPI,BIII,SFPQ,TDP-43,1,4,no
screenG,P18,D6,heat,stress,CTRL1,control,2,2,4,DAPI,BIII,SFPQ,TDP-43,2,4,no
screenG,P18,D6,heat,stress,CTRL1,control,2,2,4,DAPI,BIII,SFPQ,TDP-43,3,4,no
screenG,P18,D6,heat,stress,CTRL1,control,2,2,4,DAPI,BIII,SFPQ,TDP-43,4,4,no
screenG,P18,D6,heat,stress,CTRL1,control,2,2,4,DAPI,BIII,SFPQ,TDP-43,5,4,no
screenG,P18,D6,heat,stress,CTRL1,control,2,2,4,DAPI,BIII,SFPQ,TDP-43,6,4,no
screenG,P18,D6,heat,stress,CTRL1,control,2,2,4,DAPI,BIII,SFPQ,TDP-43,7,4,no
screenG,P18,D6,heat,stress,CTRL1,control,2,2,4,DAPI,BIII,SFPQ,TDP-43,8,4,no
screenG,P18,D6,heat,stress,CTRL1,control,2,2,4,DAPI,BIII,SFPQ,TDP-43,9,4,no
screenG,P18,D6,heat,stress,CTRL1,control,2,2,4,DAPI,BIII,SFPQ,TDP-43,10,4,no
screenG,P18,D6,heat,stress,CTRL1,control,2,2,4,DAPI,BIII,SFPQ,TDP-43,11,4,no
screenG,P18,D6,heat,stress,CTRL1,control,2,2,4,DAPI,BIII,SFPQ,TDP-43,12,4,no
screenG,P18,D6,heat,stress,CTRL1,control,3,2,4,DAPI,BIII,SFPQ,TDP-43,1,4,no
screenG,P18,D6,heat,stress,CTRL1,control,3,2,4,DAPI,BIII,SFPQ,TDP-43,2,4,no
screenG,P18,D6,heat,stress,CTRL1,control,3,2,4,DAPI,BIII,SFPQ,TDP-43,3,4,no
screenG,P18,D6,heat,stress,CTRL1,control,3,2,4,DAPI,BIII,SFPQ,TDP-43,4,4,no
screenG,P18,D6,heat,stress,CTRL1,control,3,2,4,DAPI,BIII,SFPQ,TDP-43,5,4,no
screenG,P18,D6,heat,stress,CTRL1,control,3,2,4,DAPI,BIII,SFPQ,TDP-43,6,4,no
screenG,P18,D6,heat,stress,CTRL1,control,3,2,4,DAPI,BIII,SFPQ,TDP-43,7,4,no
screenG,P18,D6,heat,stress,CTRL1,control,3,2,4,DAPI,BIII,SFPQ,TDP-43,8,4,no
screenG,P18,D6,heat,stress,CTRL1,control,3,2,4,DAPI,BIII,SFPQ,TDP-43,9,4,no
screenG,P18,D6,heat,stress,CTRL1,control,3,2,4,DAPI,BIII,SFPQ,TDP-43,10,4,no
screenG,P18,D6,heat,stress,CTRL1,control,3,2,4,DAPI,BIII,SFPQ,TDP-43,11,4,no
screenG,P18,D6,heat,stress,CTRL1,control,3,2,4,DAPI,BIII,SFPQ,TDP-43,12,4,no
screenG,P18,D6,heat,stress,CTRL2,control,2,3,4,DAPI,BIII,SFPQ,TDP-43,1,4,no
