experiment,plate,neuron_type,condition,stress_label,cell_line,als_label,well_row,well_col,number_of_channels,channel_1,channel_2,channel_3,channel_4,fov,number_of_planes,exclude
screenH,P24,D6,osmotic_6h,stress,CTRL1,control,6,2,4,DAPI,BIII,hnRNPK,hnRNPA1,1,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL1,control,6,2,4,DAPI,BIII,hnRNPK,hnRNPA1,2,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL1,control,6,2,4,DAPI,BIII,hnRNPK,hnRNPA1,3,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL1,control,6,2,4,DAPI,BIII,hnRNPK,hnRNPA1,4,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL1,control,6,2,4,DAPI,BIII,hnRNPK,hnRNPA1,5,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL1,control,6,2,4,DAPI,BIII,hnRNPK,hnRNPA1,6,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL1,control,6,2,4,DAPI,BIII,hnRNPK,hnRNPA1,7,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL1,control,6,2,4,DAPI,BIII,hnRNPK,hnRNPA1,8,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL1,control,6,2,4,DAPI,BIII,hnRNPK,hnRNPA1,9,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL1,control,6,2,4,DAPI,BIII,hnRNPK,hnRNPA1,10,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL1,control,6,2,4,DAPI,BIII,hnRNPK,hnRNPA1,11,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL1,control,6,2,4,DAPI,BIII,hnRNPK,hnRNPA1,12,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL1,control,7,2,4,DAPI,BIII,hnRNPK,hnRNPA1,1,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL1,control,7,2,4,DAPI,BIII,hnRNPK,hnRNPA1,2,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL1,control,7,2,4,DAPI,BIII,hnRNPK,hnRNPA1,3,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL1,control,7,2,4,DAPI,BIII,hnRNPK,hnRNPA1,4,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL1,control,7,2,4,DAPI,BIII,hnRNPK,hnRNPA1,5,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL1,control,7,2,4,DAPI,BIII,hnRNPK,hnRNPA1,6,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL1,control,7,2,4,DAPI,BIII,hnRNPK,hnRNPA1,7,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL1,control,7,2,4,DAPI,BIII,hnRNPK,hnRNPA1,8,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL1,control,7,2,4,DAPI,BIII,hnRNPK,hnRNPA1,9,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL1,control,7,2,4,DAPI,BIII,hnRNPK,hnRNPA1,10,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL1,control,7,2,4,DAPI,BIII,hnRNPK,hnRNPA1,11,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL1,control,7,2,4,DAPI,BIII,hnRNPK,hnRNPA1,12,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL2,control,6,3,4,DAPI,BIII,hnRNPK,hnRNPA1,1,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL2,control,6,3,4,DAPI,BIII,hnRNPK,hnRNPA1,2,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL2,control,6,3,4,DAPI,BIII,hnRNPK,hnRNPA1,3,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL2,control,6,3,4,DAPI,BIII,hnRNPK,hnRNPA1,4,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL2,control,6,3,4,DAPI,BIII,hnRNPK,hnRNPA1,5,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL2,control,6,3,4,DAPI,BIII,hnRNPK,hnRNPA1,6,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL2,control,6,3,4,DAPI,BIII,hnRNPK,hnRNPA1,7,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL2,control,6,3,4,DAPI,BIII,hnRNPK,hnRNPA1,8,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL2,control,6,3,4,DAPI,BIII,hnRNPK,hnRNPA1,9,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL2,control,6,3,4,DAPI,BIII,hnRNPK,hnRNPA1,10,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL2,control,6,3,4,DAPI,BIII,hnRNPK,hnRNPA1,11,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL2,control,6,3,4,DAPI,BIII,hnRNPK,hnRNPA1,12,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL2,control,7,3,4,DAPI,BIII,hnRNPK,hnRNPA1,1,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL2,control,7,3,4,DAPI,BIII,hnRNPK,hnRNPA1,2,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL2,control,7,3,4,DAPI,BIII,hnRNPK,hnRNPA1,3,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL2,control,7,3,4,DAPI,BIII,hnRNPK,hnRNPA1,4,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL2,control,7,3,4,DAPI,BIII,hnRNPK,hnRNPA1,5,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL2,control,7,3,4,DAPI,BIII,hnRNPK,hnRNPA1,6,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL2,control,7,3,4,DAPI,BIII,hnRNPK,hnRNPA1,7,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL2,control,7,3,4,DAPI,BIII,hnRNPK,hnRNPA1,8,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL2,control,7,3,4,DAPI,BIII,hnRNPK,hnRNPA1,9,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL2,control,7,3,4,DAPI,BIII,hnRNPK,hnRNPA1,10,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL2,control,7,3,4,DAPI,BIII,hnRNPK,hnRNPA1,11,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL2,control,7,3,4,DAPI,BIII,hnRNPK,hnRNPA1,12,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL3,control,6,4,4,DAPI,BIII,hnRNPK,hnRNPA1,1,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL3,control,6,4,4,DAPI,BIII,hnRNPK,hnRNPA1,2,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL3,control,6,4,4,DAPI,BIII,hnRNPK,hnRNPA1,3,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL3,control,6,4,4,DAPI,BIII,hnRNPK,hnRNPA1,4,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL3,control,6,4,4,DAPI,BIII,hnRNPK,hnRNPA1,5,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL3,control,6,4,4,DAPI,BIII,hnRNPK,hnRNPA1,6,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL3,control,6,4,4,DAPI,BIII,hnRNPK,hnRNPA1,7,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL3,control,6,4,4,DAPI,BIII,hnRNPK,hnRNPA1,8,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL3,control,6,4,4,DAPI,BIII,hnRNPK,hnRNPA1,9,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL3,control,6,4,4,DAPI,BIII,hnRNPK,hnRNPA1,10,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL3,control,6,4,4,DAPI,BIII,hnRNPK,hnRNPA1,11,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL3,control,6,4,4,DAPI,BIII,hnRNPK,hnRNPA1,12,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL3,control,7,4,4,DAPI,BIII,hnRNPK,hnRNPA1,1,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL3,control,7,4,4,DAPI,BIII,hnRNPK,hnRNPA1,2,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL3,control,7,4,4,DAPI,BIII,hnRNPK,hnRNPA1,3,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL3,control,7,4,4,DAPI,BIII,hnRNPK,hnRNPA1,4,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL3,control,7,4,4,DAPI,BIII,hnRNPK,hnRNPA1,5,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL3,control,7,4,4,DAPI,BIII,hnRNPK,hnRNPA1,6,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL3,control,7,4,4,DAPI,BIII,hnRNPK,hnRNPA1,7,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL3,control,7,4,4,DAPI,BIII,hnRNPK,hnRNPA1,8,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL3,control,7,4,4,DAPI,BIII,hnRNPK,hnRNPA1,9,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL3,control,7,4,4,DAPI,BIII,hnRNPK,hnRNPA1,10,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL3,control,7,4,4,DAPI,BIII,hnRNPK,hnRNPA1,11,5,no
screenH,P24,D6,osmotic_6h,stress,CTRL3,control,7,4,4,DAPI,BIII,hnRNPK,hnRNPA1,12,5,no
screenH,P24,D6,osmotic_6h,stress,MUT3,als,6,6,4,DAPI,BIII,hnRNPK,hnRNPA1,1,5,no
screenH,P24,D6,osmotic_6h,stress,MUT3,als,6,6,4,DAPI,BIII,hnRNPK,hnRNPA1,2,5,no
screenH,P24,D6,osmotic_6h,stress,MUT3,als,6,6,4,DAPI,BIII,hnRNPK,hnRNPA1,3,5,no
screenH,P24,D6,osmotic_6h,stress,MUT3,als,6,6,4,DAPI,BIII,hnRNPK,hnRNPA1,4,5,no
