experiment,plate,neuron_type,condition,stress_label,cell_line,als_label,well_row,well_col,number_of_channels,channel_1,channel_2,channel_3,channel_4,fov,number_of_planes,exclude
screenE,P14,D6,osmotic_2h,stress,CTRL2,control,4,3,4,DAPI,BIII,hnRNPK,PABP,1,4,no
screenE,P14,D6,osmotic_2h,stress,CTRL2,control,4,3,4,DAPI,BIII,hnRNPK,PABP,2,4,no
screenE,P14,D6,osmotic_2h,stress,CTRL2,control,4,3,4,DAPI,BIII,hnRNPK,PABP,3,4,no
screenE,P14,D6,osmotic_2h,stress,CTRL2,control,4,3,4,DAPI,BIII,hnRNPK,PABP,4,4,no
screenE,P14,D6,osmotic_2h,stress,CTRL2,control,4,3,4,DAPI,BIII,hnRNPK,PABP,5,4,no
screenE,P14,D6,osmotic_2h,stress,CTRL2,control,4,3,4,DAPI,BIII,hnRNPK,PABP,6,4,no
screenE,P14,D6,osmotic_2h,stress,CTRL2,control,4,3,4,DAPI,BIII,hnRNPK,PABP,7,4,no
screenE,P14,D6,osmotic_2h,stress,CTRL2,control,4,3,4,DAPI,BIII,hnRNPK,PABP,8,4,no
screenE,P14,D6,osmotic_2h,stress,CTRL2,control,4,3,4,DAPI,BIII,hnRNPK,PABP,9,4,no
screenE,P14,D6,osmotic_2h,stress,CTRL2,control,4,3,4,DAPI,BIII,hnRNPK,PABP,10,4,no
screenE,P14,D6,osmotic_2h,stress,CTRL2,control,4,3,4,DAPI,BIII,hnRNPK,PABP,11,4,no
screenE,P14,D6,osmotic_2h,stress,CTRL2,control,4,3,4,DAPI,BIII,hnRNPK,PABP,12,4,no
screenE,P14,D6,osmotic_2h,stress,CTRL2,control,5,3,4,DAPI,BIII,hnRNPK,PABP,1,4,no
screenE,P14,D6,osmotic_2h,stress,CTRL2,control,5,3,4,DAPI,BIII,hnRNPK,PABP,2,4,no
screenE,P14,D6,osmotic_2h,stress,CTRL2,control,5,3,4,DAPI,BIII,hnRNPK,PABP,3,4,no
screenE,P14,D6,osmotic_2h,stress,CTRL2,control,5,3,4,DAPI,BIII,hnRNPK,PABP,4,4,no
screenE,P14,D6,osmotic_2h,stress,CTRL2,control,5,3,4,DAPI,BIII,hnRNPK,PABP,5,4,no
screenE,P14,D6,osmotic_2h,stress,CTRL2,control,5,3,4,DAPI,BIII,hnRNPK,PABP,6,4,no
screenE,P14,D6,osmotic_2h,stress,CTRL2,control,5,3,4,DAPI,BIII,hnRNPK,PABP,7,4,no
screenE,P14,D6,osmotic_2h,stress,CTRL2,control,5,3,4,DAPI,BIII,hnRNPK,PABP,8,4,no
screenE,P14,D6,osmotic_2h,stress,CTRL2,control,5,3,4,DAPI,BIII,hnRNPK,PABP,9,4,no
screenE,P14,D6,osmotic_2h,stress,CTRL2,control,5,3,4,DAPI,BIII,hnRNPK,PABP,10,4,no
screenE,P14,D6,osmotic_2h,stress,CTRL2,control,5,3,4,DAPI,BIII,hnRNPK,PABP,11,4,no
screenE,P14,D6,osmotic_2h,stress,CTRL2,control,5,3,4,DAPI,BIII,hnRNPK,PABP,12,4,no
screenE,P14,D6,osmotic_2h,stress,CTRL3,control,4,4,4,DAPI,BIII,hnRNPK,PABP,1,4,no
screenE,P14,D6,osmotic_2h,stress,CTRL3,control,4,4,4,DAPI,BIII,hnRNPK,PABP,2,4,no
screenE,P14,D6,osmotic_2h,stress,CTRL3,control,4,4,4,DAPI,BIII,hnRNPK,PABP,3,4,no
screenE,P14,D6,osmotic_2h,stress,CTRL3,control,4,4,4,DAPI,BIII,hnRNPK,PABP,4,4,no
screenE,P14,D6,osmotic_2h,stress,CTRL3,control,4,4,4,DAPI,BIII,hnRNPK,PABP,5,4,no
screenE,P14,D6,osmotic_2h,stress,CTRL3,control,4,4,4,DAPI,BIII,hnRNPK,PABP,6,4,no
screenE,P14,D6,osmotic_2h,stress,CTRL3,control,4,4,4,DAPI,BIII,hnRNPK,PABP,7,4,no
screenE,P14,D6,osmotic_2h,stress,CTRL3,control,4,4,4,DAPI,BIII,hnRNPK,PABP,8,4,no
screenE,P14,D6,osmotic_2h,stress,CTRL3,control,4,4,4,DAPI,BIII,hnRNPK,PABP,9,4,no
screenE,P14,D6,osmotic_2h,stress,CTRL3,control,4,4,4,DAPI,BIII,hnRNPK,PABP,10,4,no
screenE,P14,D6,osmotic_2h,stress,CTRL3,control,4,4,4,DAPI,BIII,hnRNPK,PABP,11,4,no
screenE,P14,D6,osmotic_2h,stress,CTRL3,control,4,4,4,DAPI,BIII,hnRNPK,PABP,12,4,no
screenE,P14,D6,osmotic_2h,stress,CTRL3,control,5,4,4,DAPI,BIII,hnRNPK,PABP,1,4,no
screenE,P14,D6,osmotic_2h,stress,CTRL3,control,5,4,4,DAPI,BIII,hnRNPK,PABP,2,4,no
screenE,P14,D6,osmotic_2h,stress,CTRL3,control,5,4,4,DAPI,BIII,hnRNPK,PABP,3,4,no
screenE,P14,D6,osmotic_2h,stress,CTRL3,control,5,4,4,DAPI,BIII,hnRNPK,PABP,4,4,no
screenE,P14,D6,osmotic_2h,stress,CTRL3,control,5,4,4,DAPI,BIII,hnRNPK,PABP,5,4,no
screenE,P14,D6,osmotic_2h,stress,CTRL3,control,5,4,4,DAPI,BIII,hnRNPK,PABP,6,4,no
screenE,P14,D6,osmotic_2h,stress,CTRL3,control,5,4,4,DAPI,BIII,hnRNPK,PABP,7,4,no
screenE,P14,D6,osmotic_2h,stress,CTRL3,control,5,4,4,DAPI,BIII,hnRNPK,PABP,8,4,no
screenE,P14,D6,osmotic_2h,stress,CTRL3,control,5,4,4,DAPI,BIII,hnRNPK,PABP,9,4,no
screenE,P14,D6,osmotic_2h,stress,CTRL3,control,5,4,4,DAPI,BIII,hnRNPK,PABP,10,4,no
screenE,P14,D6,osmotic_2h,stress,CTRL3,control,5,4,4,DAPI,BIII,hnRNPK,PABP,11,4,no
screenE,P14,D6,osmotic_2h,stress,CTRL3,control,5,4,4,DAPI,BIII,hnRNPK,PABP,12,4,no
screenH,P23,D6,osmotic_2h,stress,CTRL1,control,6,2,4,DAPI,BIII,hnRNPK,hnRNPA1,1,5,no
screenH,P23,D6,osmotic_2h,stress,CTRL1,control,6,2,4,DAPI,BIII,hnRNPK,hnRNPA1,2,5,no
screenH,P23,D6,osmotic_2h,stress,CTRL1,control,6,2,4,DAPI,BIII,hnRNPK,hnRNPA1,3,5,no
screenH,P23,D6,osmotic_2h,stress,CTRL1,control,6,2,4,DAPI,BIII,hnRNPK,hnRNPA1,4,5,no
screenH,P23,D6,osmotic_2h,stress,CTRL1,control,6,2,4,DAPI,BIII,hnRNPK,hnRNPA1,5,5,no
screenH,P23,D6,osmotic_2h,stress,CTRL1,control,6,2,4,DAPI,BIII,hnRNPK,hnRNPA1,6,5,no
screenH,P23,D6,osmotic_2h,stress,CTRL1,control,6,2,4,DAPI,BIII,hnRNPK,hnRNPA1,7,5,no
screenH,P23,D6,osmotic_2h,stress,CTRL1,control,6,2,4,DAPI,BIII,hnRNPK,hnRNPA1,8,5,no
screenH,P23,D6,osmotic_2h,stress,CTRL1,control,6,2,4,DAPI,BIII,hnRNPK,hnRNPA1,9,5,no
screenH,P23,D6,osmotic_2h,stress,CTRL1,control,6,2,4,DAPI,BIII,hnRNPK,hnRNPA1,10,5,no
screenH,P23,D6,osmotic_2h,stress,CTRL1,control,6,2,4,DAPI,BIII,hnRNPK,hnRNPA1,11,5,no
screenH,P23,D6,osmotic_2h,stress,CTRL1,control,6,2,4,DAPI,BIII,hnRNPK,hnRNPA1,12,5,no
screenH,P23,D6,osmotic_2h,stress,CTRL1,control,7,2,4,DAPI,BIII,hnRNPK,hnRNPA1,1,5,no
screenH,P23,D6,osmotic_2h,stress,CTRL1,control,7,2,4,DAPI,BIII,hnRNPK,hnRNPA1,2,5,no
