experiment,plate,neuron_type,condition,stress_label,cell_line,als_label,well_row,well_col,number_of_channels,channel_1,channel_2,channel_3,channel_4,fov,number_of_planes,exclude
screenB,P4,D6,untreated,no_stress,CTRL1,control,2,2,4,DAPI,BIII,SFPQ,PABP,1,4,no
screenB,P4,D6,untreated,no_stress,CTRL1,control,2,2,4,DAPI,BIII,SFPQ,PABP,2,4,no
screenB,P4,D6,untreated,no_stress,CTRL1,control,2,2,4,DAPI,BIII,SFPQ,PABP,3,4,no
screenB,P4,D6,untreated,no_stress,CTRL1,control,2,2,4,DAPI,BIII,SFPQ,PABP,4,4,no
screenB,P4,D6,untreated,no_stress,CTRL1,control,2,2,4,DAPI,BIII,SFPQ,PABP,5,4,no
screenB,P4,D6,untreated,no_stress,CTRL1,control,2,2,4,DAPI,BIII,SFPQ,PABP,6,4,no
screenB,P4,D6,untreated,no_stress,CTRL1,control,2,2,4,DAPI,BIII,SFPQ,PABP,7,4,no
screenB,P4,D6,untreated,no_stress,CTRL1,control,2,2,4,DAPI,BIII,SFPQ,PABP,8,4,no
screenB,P4,D6,untreated,no_stress,CTRL1,control,2,2,4,DAPI,BIII,SFPQ,PABP,9,4,no
screenB,P4,D6,untreated,no_stress,CTRL1,control,2,2,4,DAPI,BIII,SFPQ,PABP,10,4,no
screenB,P4,D6,untreated,no_stress,CTRL1,control,3,2,4,DAPI,BIII,SFPQ,PABP,1,4,no
screenB,P4,D6,untreated,no_stress,CTRL1,control,3,2,4,DAPI,BIII,SFPQ,PABP,2,4,no
screenB,P4,D6,untreated,no_stress,CTRL1,control,3,2,4,DAPI,BIII,SFPQ,PABP,3,4,no
screenB,P4,D6,untreated,no_stress,CTRL1,control,3,2,4,DAPI,BIII,SFPQ,PABP,4,4,no
screenB,P4,D6,untreated,no_stress,CTRL1,control,3,2,4,DAPI,BIII,SFPQ,PABP,5,4,no
screenB,P4,D6,untreated,no_stress,CTRL1,control,3,2,4,DAPI,BIII,SFPQ,PABP,6,4,no
screenB,P4,D6,untreated,no_stress,CTRL1,control,3,2,4,DAPI,BIII,SFPQ,PABP,7,4,no
screenB,P4,D6,untreated,no_stress,CTRL1,control,3,2,4,DAPI,BIII,SFPQ,PABP,8,4,no
screenB,P4,D6,untreated,no_stress,CTRL1,control,3,2,4,DAPI,BIII,SFPQ,PABP,9,4,no
screenB,P4,D6,untreated,no_stress,CTRL1,control,3,2,4,DAPI,BIII,SFPQ,PABP,10,4,no
screenB,P4,D6,untreated,no_stress,CTRL2,control,2,3,4,DAPI,BIII,SFPQ,PABP,1,4,no
screenB,P4,D6,untreated,no_stress,CTRL2,control,2,3,4,DAPI,BIII,SFPQ,PABP,2,4,no
screenB,P4,D6,untreated,no_stress,CTRL2,control,2,3,4,DAPI,BIII,SFPQ,PABP,3,4,no
screenB,P4,D6,untreated,no_stress,CTRL2,control,2,3,4,DAPI,BIII,SFPQ,PABP,4,4,no
screenB,P4,D6,untreated,no_stress,CTRL2,control,2,3,4,DAPI,BIII,SFPQ,PABP,5,4,no
screenB,P4,D6,untreated,no_stress,CTRL2,control,2,3,4,DAPI,BIII,SFPQ,PABP,6,4,no
screenB,P4,D6,untreated,no_stress,CTRL2,control,2,3,4,DAPI,BIII,SFPQ,PABP,7,4,no
screenB,P4,D6,untreated,no_stress,CTRL2,control,2,3,4,DAPI,BIII,SFPQ,PABP,8,4,no
screenB,P4,D6,untreated,no_stress,CTRL2,control,2,3,4,DAPI,BIII,SFPQ,PABP,9,4,no
screenB,P4,D6,untreated,no_stress,CTRL2,control,2,3,4,DAPI,BIII,SFPQ,PABP,10,4,no
screenB,P4,D6,untreated,no_stress,CTRL2,control,3,3,4,DAPI,BIII,SFPQ,PABP,1,4,no
screenB,P4,D6,untreated,no_stress,CTRL2,control,3,3,4,DAPI,BIII,SFPQ,PABP,2,4,no
screenB,P4,D6,untreated,no_stress,CTRL2,control,3,3,4,DAPI,BIII,SFPQ,PABP,3,4,no
screenB,P4,D6,untreated,no_stress,CTRL2,control,3,3,4,DAPI,BIII,SFPQ,PABP,4,4,no
screenB,P4,D6,untreated,no_stress,CTRL2,control,3,3,4,DAPI,BIII,SFPQ,PABP,5,4,no
screenB,P4,D6,untreated,no_stress,CTRL2,control,3,3,4,DAPI,BIII,SFPQ,PABP,6,4,no
screenB,P4,D6,untreated,no_stress,CTRL2,control,3,3,4,DAPI,BIII,SFPQ,PABP,7,4,no
screenB,P4,D6,untreated,no_stress,CTRL2,control,3,3,4,DAPI,BIII,SFPQ,PABP,8,4,no
screenB,P4,D6,untreated,no_stress,CTRL2,control,3,3,4,DAPI,BIII,SFPQ,PABP,9,4,no
screenB,P4,D6,untreated,no_stress,CTRL2,control,3,3,4,DAPI,BIII,SFPQ,PABP,10,4,no
screenB,P4,D6,untreated,no_stress,CTRL3,control,2,4,4,DAPI,BIII,SFPQ,PABP,1,4,no
screenB,P4,D6,untreated,no_stress,CTRL3,control,2,4,4,DAPI,BIII,SFPQ,PABP,2,4,no
screenB,P4,D6,untreated,no_stress,CTRL3,control,2,4,4,DAPI,BIII,SFPQ,PABP,3,4,no
screenB,P4,D6,untreated,no_stress,CTRL3,control,2,4,4,DAPI,BIII,SFPQ,PABP,4,4,no
screenB,P4,D6,untreated,no_stress,CTRL3,control,2,4,4,DAPI,BIII,SFPQ,PABP,5,4,no
screenB,P4,D6,untreated,no_stress,CTRL3,control,2,4,4,DAPI,BIII,SFPQ,PABP,6,4,no
screenB,P4,D6,untreated,no_stress,CTRL3,control,2,4,4,DAPI,BIII,SFPQ,PABP,7,4,no
screenB,P4,D6,untreated,no_stress,CTRL3,control,2,4,4,DAPI,BIII,SFPQ,PABP,8,4,no
screenB,P4,D6,untreated,no_stress,CTRL3,control,2,4,4,DAPI,BIII,SFPQ,PABP,9,4,no
screenB,P4,D6,untreated,no_stress,CTRL3,control,2,4,4,DAPI,BIII,SFPQ,PABP,10,4,no
screenB,P4,D6,untreated,no_stress,CTRL3,control,3,4,4,DAPI,BIII,SFPQ,PABP,1,4,no
screenB,P4,D6,untreated,no_stress,CTRL3,control,3,4,4,DAPI,BIII,SFPQ,PABP,2,4,no
screenB,P4,D6,untreated,no_stress,CTRL3,control,3,4,4,DAPI,BIII,SFPQ,PABP,3,4,no
screenB,P4,D6,untreated,no_stress,CTRL3,control,3,4,4,DAPI,BIII,SFPQ,PABP,4,4,no
screenB,P4,D6,untreated,no_stress,CTRL3,control,3,4,4,DAPI,BIII,SFPQ,PABP,5,4,no
screenB,P4,D6,untreated,no_stress,CTRL3,control,3,4,4,DAPI,BIII,SFPQ,PABP,6,4,no
screenB,P4,D6,untreated,no_stress,CTRL3,control,3,4,4,DAPI,BIII,SFPQ,PABP,7,4,no
screenB,P4,D6,untreated,no_stress,CTRL3,control,3,4,4,DAPI,BIII,SFPQ,PABP,8,4,no
screenB,P4,D6,untreated,no_stress,CTRL3,control,3,4,4,DAPI,BIII,SFPQ,PABP,9,4,no
screenB,P4,D6,untreated,no_stress,CTRL3,control,3,4,4,DAPI,BIII,SFPQ,PABP,10,4,no
screenC,P6,D6,untreated,no_stress,CTRL1,control,2,2,4,DAPI,BIII,SFPQ,PABP,1,5,no
screenC,P6,D6,untreated,no_stress,CTRL1,control,2,2,4,DAPI,BIII,SFPQ,PABP,2,5,no
screenC,P6,D6,untreated,no_stress,CTRL1,control,2,2,4,DAPI,BIII,SFPQ,PABP,3,5,no
screenC,P6,D6,untreated,no_stress,CTRL1,control,2,2,4,DAPI,BIII,SFPQ,PABP,4,5,no
screenC,P6,D6,untreated,no_stress,CTRL1,control,2,2,4,DAPI,BIII,SFPQ,PABP,5,5,no
screenC,P6,D6,untreated,no_stress,CTRL1,control,2,2,4,DAPI,BIII,SFPQ,PABP,6,5,no
screenC,P6,D6,untreated,no_stress,CTRL1,control,2,2,4,DAPI,BIII,SFPQ,PABP,7,5,no
screenC,P6,D6,untreated,no_stress,CTRL1,control,2,2,4,DAPI,BIII,SFPQ,PABP,8,5,no
screenC,P6,D6,untreated,no_stress,CTRL1,control,2,2,4,DAPI,BIII,SFPQ,PABP,9,5,no
screenC,P6,D6,untreated,no_stress,CTRL1,control,2,2,4,DAPI,BIII,SFPQ,PABP,10,5,no
screenC,P6,D6,untreated,no_stress,CTRL1,control,3,2,4,DAPI,BIII,SFPQ,PABP,1,5,no
screenC,P6,D6,untreated,no_stress,CTRL1,control,3,2,4,DAPI,BIII,SFPQ,PABP,2,5,no
screenC,P6,D6,untreated,no_stress,CTRL1,control,3,2,4,DAPI,BIII,SFPQ,PABP,3,5,no
screenC,P6,D6,untreated,no_stress,CTRL1,control,3,2,4,DAPI,BIII,SFPQ,PABP,4,5,no
screenC,P6,D6,untreated,no_stress,CTRL1,control,3,2,4,DAPI,BIII,SFPQ,PABP,5,5,no
screenC,P6,D6,untreated,no_stress,CTRL1,control,3,2,4,DAPI,BIII,SFPQ,PABP,6,5,no
screenC,P6,D6,untreated,no_stress,CTRL1,control,3,2,4,DAPI,BIII,SFPQ,PABP,7,5,no
screenC,P6,D6,untreated,no_stress,CTRL1,control,3,2,4,DAPI,BIII,SFPQ,PABP,8,5,no
screenC,P6,D6,untreated,no_stress,CTRL1,control,3,2,4,DAPI,BIII,SFPQ,PABP,9,5,no
screenC,P6,D6,untreated,no_stress,CTRL1,control,3,2,4,DAPI,BIII,SFPQ,PABP,10,5,no
screenC,P6,D6,untreated,no_stress,CTRL2,control,2,3,4,DAPI,BIII,SFPQ,PABP,1,5,no
screenC,P6,D6,untreated,no_stress,CTRL2,control,2,3,4,DAPI,BIII,SFPQ,PABP,2,5,no
screenC,P6,D6,untreated,no_stress,CTRL2,control,2,3,4,DAPI,BIII,SFPQ,PABP,3,5,no
screenC,P6,D6,untreated,no_stress,CTRL2,control,2,3,4,DAPI,BIII,SFPQ,PABP,4,5,no
screenC,P6,D6,untreated,no_stress,CTRL2,control,2,3,4,DAPI,BIII,SFPQ,PABP,5,5,no
screenC,P6,D6,untreated,no_stress,CTRL2,control,2,3,4,DAPI,BIII,SFPQ,PABP,6,5,no
screenC,P6,D6,untreated,no_stress,CTRL2,control,2,3,4,DAPI,BIII,SFPQ,PABP,7,5,no
screenC,P6,D6,untreated,no_stress,CTRL2,control,2,3,4,DAPI,BIII,SFPQ,PABP,8,5,no
screenC,P6,D6,untreated,no_stress,CTRL2,control,2,3,4,DAPI,BIII,SFPQ,PABP,9,5,no
screenC,P6,D6,untreated,no_stress,CTRL2,control,2,3,4,DAPI,BIII,SFPQ,PABP,10,5,no
screenC,P6,D6,untreated,no_stress,CTRL2,control,3,3,4,DAPI,BIII,SFPQ,PABP,1,5,no
screenC,P6,D6,untreated,no_stress,CTRL2,control,3,3,4,DAPI,BIII,SFPQ,PABP,2,5,no
screenC,P6,D6,untreated,no_stress,CTRL2,control,3,3,4,DAPI,BIII,SFPQ,PABP,3,5,no
screenC,P6,D6,untreated,no_stress,CTRL2,control,3,3,4,DAPI,BIII,SFPQ,PABP,4,5,no
screenC,P6,D6,untreated,no_stress,CTRL2,control,3,3,4,DAPI,BIII,SFPQ,PABP,5,5,no
screenC,P6,D6,untreated,no_stress,CTRL2,control,3,3,4,DAPI,BIII,SFPQ,PABP,6,5,no
screenC,P6,D6,untreated,no_stress,CTRL2,control,3,3,4,DAPI,BIII,SFPQ,PABP,7,5,no
screenC,P6,D6,untreated,no_stress,CTRL2,control,3,3,4,DAPI,BIII,SFPQ,PABP,8,5,no
screenC,P6,D6,untreated,no_stress,CTRL2,control,3,3,4,DAPI,BIII,SFPQ,PABP,9,5,no
screenC,P6,D6,untreated,no_stress,CTRL2,control,3,3,4,DAPI,BIII,SFPQ,PABP,10,5,no
screenC,P6,D6,untreated,no_stress,CTRL3,control,2,4,4,DAPI,BIII,SFPQ,PABP,1,5,no
screenC,P6,D6,untreated,no_stress,CTRL3,control,2,4,4,DAPI,BIII,SFPQ,PABP,2,5,no
screenC,P6,D6,untreated,no_stress,CTRL3,control,2,4,4,DAPI,BIII,SFPQ,PABP,3,5,no
screenC,P6,D6,untreated,no_stress,CTRL3,control,2,4,4,DAPI,BIII,SFPQ,PABP,4,5,no
screenC,P6,D6,untreated,no_stress,CTRL3,control,2,4,4,DAPI,BIII,SFPQ,PABP,5,5,no
screenC,P6,D6,untreated,no_stress,CTRL3,control,2,4,4,DAPI,BIII,SFPQ,PABP,6,5,no
screenC,P6,D6,untreated,no_stress,CTRL3,control,2,4,4,DAPI,BIII,SFPQ,PABP,7,5,no
screenC,P6,D6,untreated,no_stress,CTRL3,control,2,4,4,DAPI,BIII,SFPQ,PABP,8,5,no
screenC,P6,D6,untreated,no_stress,CTRL3,control,2,4,4,DAPI,BIII,SFPQ,PABP,9,5,no
screenC,P6,D6,untreated,no_stress,CTRL3,control,2,4,4,DAPI,BIII,SFPQ,PABP,10,5,no
screenC,P6,D6,untreated,no_stress,CTRL3,control,3,4,4,DAPI,BIII,SFPQ,PABP,1,5,no
screenC,P6,D6,untreated,no_stress,CTRL3,control,3,4,4,DAPI,BIII,SFPQ,PABP,2,5,no
screenC,P6,D6,untreated,no_stress,CTRL3,control,3,4,4,DAPI,BIII,SFPQ,PABP,3,5,no
screenC,P6,D6,untreated,no_stress,CTRL3,control,3,4,4,DAPI,BIII,SFPQ,PABP,4,5,no
screenC,P6,D6,untreated,no_stress,CTRL3,control,3,4,4,DAPI,BIII,SFPQ,PABP,5,5,no
screenC,P6,D6,untreated,no_stress,CTRL3,control,3,4,4,DAPI,BIII,SFPQ,PABP,6,5,no
screenC,P6,D6,untreated,no_stress,CTRL3,control,3,4,4,DAPI,BIII,SFPQ,PABP,7,5,no
screenC,P6,D6,untreated,no_stress,CTRL3,control,3,4,4,DAPI,BIII,SFPQ,PABP,8,5,no
screenC,P6,D6,untreated,no_stress,CTRL3,control,3,4,4,DAPI,BIII,SFPQ,PABP,9,5,no
screenC,P6,D6,untreated,no_stress,CTRL3,control,3,4,4,DAPI,BIII,SFPQ,PABP,10,5,no
screenE,P11,D6,untreated,no_stress,CTRL2,control,2,3,4,DAPI,BIII,SFPQ,TDP-43,1,4,no
screenE,P11,D6,untreated,no_stress,CTRL2,control,2,3,4,DAPI,BIII,SFPQ,TDP-43,2,4,no
screenE,P11,D6,untreated,no_stress,CTRL2,control,2,3,4,DAPI,BIII,SFPQ,TDP-43,3,4,no
screenE,P11,D6,untreated,no_stress,CTRL2,control,2,3,4,DAPI,BIII,SFPQ,TDP-43,4,4,no
screenE,P11,D6,untreated,no_stress,CTRL2,control,2,3,4,DAPI,BIII,SFPQ,TDP-43,5,4,no
screenE,P11,D6,untreated,no_stress,CTRL2,control,2,3,4,DAPI,BIII,SFPQ,TDP-43,6,4,no
screenE,P11,D6,untreated,no_stress,CTRL2,control,2,3,4,DAPI,BIII,SFPQ,TDP-43,7,4,no
screenE,P11,D6,untreated,no_stress,CTRL2,control,2,3,4,DAPI,BIII,SFPQ,TDP-43,8,4,no
screenE,P11,D6,untreated,no_stress,CTRL2,control,2,3,4,DAPI,BIII,SFPQ,TDP-43,9,4,no
screenE,P11,D6,untreated,no_stress,CTRL2,control,2,3,4,DAPI,BIII,SFPQ,TDP-43,10,4,no
screenE,P11,D6,untreated,no_stress,CTRL2,control,2,3,4,DAPI,BIII,SFPQ,TDP-43,11,4,no
screenE,P11,D6,untreated,no_stress,CTRL2,control,2,3,4,DAPI,BIII,SFPQ,TDP-43,12,4,no
screenE,P11,D6,untreated,no_stress,CTRL2,control,3,3,4,DAPI,BIII,SFPQ,TDP-43,1,4,no
