protocol,images,samples,als,control,stress,no_stress
als_untreated_SFPQ,9846,730,730,0,0,730
als_untreated_TDP-43,7686,570,570,0,0,570
als_untreated_FUS,9486,690,690,0,0,690
als_untreated_hnRNPA1,7686,570,570,0,0,570
als_untreated_hnRNPK,6696,504,504,0,0,504
als_untreated_all,27018,1990,1990,0,0,1990
als_osmotic_SFPQ,4752,352,352,0,352,0
als_osmotic_TDP-43,2592,192,192,0,192,0
als_osmotic_FUS,2592,192,192,0,192,0
als_osmotic_hnRNPA1,2592,192,192,0,192,0
als_osmotic_hnRNPK,2592,192,192,0,192,0
als_osmotic_all,9936,736,736,0,736,0
als_oxidative_SFPQ,3300,255,255,0,255,0
als_oxidative_TDP-43,1140,95,95,0,95,0
als_oxidative_FUS,1152,96,96,0,96,0
als_oxidative_hnRNPA1,1152,96,96,0,96,0
als_oxidative_hnRNPK,1152,96,96,0,96,0
als_oxidative_all,5604,447,447,0,447,0
als_heat_SFPQ,2592,192,192,0,192,0
als_heat_TDP-43,2592,192,192,0,192,0
als_heat_FUS,2592,192,192,0,192,0
als_heat_hnRNPA1,2592,192,192,0,192,0
als_heat_hnRNPK,2592,192,192,0,192,0
als_heat_all,7776,576,576,0,576,0
als_untreated_osmotic_SFPQ,14598,1082,1082,0,352,730
als_untreated_osmotic_TDP-43,10278,762,762,0,192,570
als_untreated_osmotic_FUS,12078,882,882,0,192,690
als_untreated_osmotic_hnRNPA1,10278,762,762,0,192,570
als_untreated_osmotic_hnRNPK,9288,696,696,0,192,504
als_untreated_osmotic_all,36954,2726,2726,0,736,1990
als_untreated_oxidative_SFPQ,13146,985,985,0,255,730
als_untreated_oxidative_TDP-43,8826,665,665,0,95,570
als_untreated_oxidative_FUS,10638,786,786,0,96,690
als_untreated_oxidative_hnRNPA1,8838,666,666,0,96,570
als_untreated_oxidative_hnRNPK,7848,600,600,0,96,504
als_untreated_oxidative_all,32622,2437,2437,0,447,1990
als_untreated_heat_SFPQ,12438,922,922,0,192,730
als_untreated_heat_TDP-43,10278,762,762,0,192,570
als_untreated_heat_FUS,12078,882,882,0,192,690
als_untreated_heat_hnRNPA1,10278,762,762,0,192,570
als_untreated_heat_hnRNPK,9288,696,696,0,192,504
als_untreated_heat_all,34794,2566,2566,0,576,1990
als_untreated_heat_2h_SFPQ,12438,922,922,0,192,730
als_untreated_heat_2h_TDP-43,10278,762,762,0,192,570
als_untreated_heat_2h_FUS,12078,882,882,0,192,690
als_untreated_heat_2h_hnRNPA1,10278,762,762,0,192,570
als_untreated_heat_2h_hnRNPK,9288,696,696,0,192,504
als_untreated_heat_2h_all,34794,2566,2566,0,576,1990
als_untreated_osmotic_1h_SFPQ,12438,922,922,0,192,730
als_untreated_osmotic_1h_TDP-43,10278,762,762,0,192,570
als_untreated_osmotic_1h_FUS,12078,882,882,0,192,690
als_untreated_osmotic_1h_hnRNPA1,10278,762,762,0,192,570
als_untreated_osmotic_1h_hnRNPK,9288,696,696,0,192,504
als_untreated_osmotic_1h_all,34794,2566,2566,0,576,1990
als_untreated_osmotic_2h_SFPQ,12438,922,922,0,192,730
als_untreated_osmotic_2h_TDP-43,10278,762,762,0,192,570
als_untreated_osmotic_2h_FUS,12078,882,882,0,192,690
als_untreated_osmotic_2h_hnRNPA1,10278,762,762,0,192,570
als_untreated_osmotic_2h_hnRNPK,9288,696,696,0,192,504
als_untreated_osmotic_2h_all,34794,2566,2566,0,576,1990
als_untreated_osmotic_6h_SFPQ,11286,826,826,0,96,730
als_untreated_osmotic_6h_TDP-43,9126,666,666,0,96,570
als_untreated_osmotic_6h_FUS,10926,786,786,0,96,690
als_untreated_osmotic_6h_hnRNPA1,9126,666,666,0,96,570
als_untreated_osmotic_6h_hnRNPK,8136,600,600,0,96,504
als_untreated_osmotic_6h_all,31338,2278,2278,0,288,1990
als_osmotic_1h_SFPQ,2592,192,192,0,192,0
als_osmotic_1h_TDP-43,2592,192,192,0,192,0
als_osmotic_1h_FUS,2592,192,192,0,192,0
als_osmotic_1h_hnRNPA1,2592,192,192,0,192,0
als_osmotic_1h_hnRNPK,2592,192,192,0,192,0
als_osmotic_1h_all,7776,576,576,0,576,0
als_osmotic_2h_SFPQ,2592,192,192,0,192,0
als_osmotic_2h_TDP-43,2592,192,192,0,192,0
als_osmotic_2h_FUS,2592,192,192,0,192,0
als_osmotic_2h_hnRNPA1,2592,192,192,0,192,0
als_osmotic_2h_hnRNPK,2592,192,192,0,192,0
als_osmotic_2h_all,7776,576,576,0,576,0
als_osmotic_6h_SFPQ,1440,96,96,0,96,0
als_osmotic_6h_TDP-43,1440,96,96,0,96,0
als_osmotic_6h_FUS,1440,96,96,0,96,0
als_osmotic_6h_hnRNPA1,1440,96,96,0,96,0
als_osmotic_6h_hnRNPK,1440,96,96,0,96,0
als_osmotic_6h_all,4320,288,288,0,288,0
als_heat_2h_SFPQ,2592,192,192,0,192,0
als_heat_2h_TDP-43,2592,192,192,0,192,0
als_heat_2h_FUS,2592,192,192,0,192,0
als_heat_2h_hnRNPA1,2592,192,192,0,192,0
als_heat_2h_hnRNPK,2592,192,192,0,192,0
als_heat_2h_all,7776,576,576,0,576,0
control_untreated_SFPQ,7194,530,0,530,0,530
control_untreated_TDP-43,5574,410,0,410,0,410
control_untreated_FUS,6774,490,0,490,0,490
control_untreated_hnRNPA1,5559,409,0,409,0,409
control_untreated_hnRNPK,4584,344,0,344,0,344
control_untreated_all,19527,1429,0,1429,0,1429
control_osmotic_SFPQ,3276,240,0,240,240,0
control_osmotic_TDP-43,1656,120,0,120,120,0
control_osmotic_FUS,1656,120,0,120,120,0
control_osmotic_hnRNPA1,1656,120,0,120,120,0
control_osmotic_hnRNPK,1656,120,0,120,120,0
control_osmotic_all,6588,480,0,480,480,0
control_oxidative_SFPQ,2196,168,0,168,168,0
control_oxidative_TDP-43,576,48,0,48,48,0
control_oxidative_FUS,576,48,0,48,48,0
control_oxidative_hnRNPA1,576,48,0,48,48,0
control_oxidative_hnRNPK,576,48,0,48,48,0
control_oxidative_all,3348,264,0,264,264,0
control_heat_SFPQ,1944,144,0,144,144,0
control_heat_TDP-43,1944,144,0,144,144,0
control_heat_FUS,1944,144,0,144,144,0
control_heat_hnRNPA1,1944,144,0,144,144,0
control_heat_hnRNPK,1944,144,0,144,144,0
control_heat_all,5832,432,0,432,432,0
