protocol,fold_0,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9
control_als_untreated_SFPQ_DAPI,0.5416059203853956,0.6403099798387097,0.6652866908482142,0.6814764968487395,0.6577400846702318,0.6337594135436433,0.6614808607266436,0.6463629201680673,0.6206036735983457,0.6364315257352939
control_als_untreated_SFPQ_BIII,0.7188127790178571,0.8086647727272727,0.7304903513824885,0.8138721113445377,0.7792225346020761,0.6914689171122995,0.7825137867647058,0.7909108726211072,0.7420438878676471,0.7520173280709342
control_als_untreated_SFPQ_DAPI_BIII,0.7267090834178499,0.8457105372390893,0.7493483582949308,0.8132779674369749,0.7737717245989304,0.7343673406862745,0.7932627324826992,0.7902316717128028,0.7743719362745097,0.8056604721966911
control_als_untreated_SFPQ_SFPQ,0.617054429945055,0.7539537905679514,0.6892714864158829,0.7091034226190477,0.7062561094819159,0.6392933238636364,0.650656307444853,0.647329370256167,0.6091155716318786,0.7261310178396871
control_als_untreated_SFPQ_DAPI_BIII_SFPQ,0.8102861637443439,0.9101439403886556,0.7829194422675025,0.8472730654761904,0.8324613320707069,0.8023496685606061,0.8510557232481061,0.8099983693074004,0.794921875,0.8580374053030304
control_als_untreated_TDP-43_DAPI,0.62548828125,0.5910606278801843,0.623765756302521,0.6550833565848215,0.6809626807851239,0.6784205581202651,0.646636962890625,0.6008209391711229,0.6659852130190311,0.647225772633272
control_als_untreated_TDP-43_BIII,0.7535173160173161,0.8044947240259741,0.7838858981092436,0.7865443638392857,0.7866859243697478,0.7826417584940312,0.8044925356506238,0.7889171983131488,0.7480941825259515,0.7384588068181819
control_als_untreated_TDP-43_DAPI_BIII,0.7759033203125,0.8120823732718894,0.772170430672269,0.8240234374999998,0.8191108528466482,0.8486069187973485,0.8238669002757353,0.8011189561051694,0.7621141057525951,0.7835585650275736
control_als_untreated_TDP-43_TDP-43,0.9142229352678573,0.8577880859374998,0.91980206144958,0.9285386029411764,0.8919827874331552,0.9091554752066116,0.933241668643264,0.9201481729055259,0.8974913494809689,0.8675716624540442
control_als_untreated_TDP-43_DAPI_BIII_TDP-43,0.9256975446428573,0.9349078341013825,0.9138261554621848,0.9371804630055146,0.9088505796602389,0.9248453776041669,0.9405946098197344,0.9336216020499108,0.9323874080882352,0.9015143899356616
control_als_untreated_FUS_DAPI,0.7212349002100841,0.6596769957983193,0.6664899553571428,0.6278076171875,0.6777983849789916,0.6774758731617647,0.6595555409663866,0.6623511904761904,0.6290751030525846,0.6769706963667821
control_als_untreated_FUS_BIII,0.8009978991596639,0.8286469275210084,0.7708114495798319,0.8224853515624999,0.7760274422268907,0.7976961234861593,0.8129021139705882,0.7717830882352942,0.7748683990641712,0.8102335394385027
control_als_untreated_FUS_DAPI_BIII,0.8322643119747899,0.8407201943277312,0.8052422531512605,0.8128564228110599,0.8098673844537816,0.8121485726643598,0.8481833910034602,0.8305735930735931,0.7837392769607843,0.8674346869429591
control_als_untreated_FUS_FUS,0.7349034926470589,0.6962250525210083,0.8064929096638656,0.7440236175115208,0.8040802258403362,0.7433566717128027,0.8238051470588236,0.8100108225108226,0.7890625,0.7762827097750864
control_als_untreated_FUS_DAPI_BIII_FUS,0.901907169117647,0.8842108718487396,0.9473542542016806,0.9052383352534562,0.9230731355042018,0.9293698637543252,0.9345973453719724,0.9222132034632036,0.9000564004010696,0.9385061553030304
control_als_untreated_hnRNPA1_DAPI,0.6587299763655461,0.6884588068181818,0.6535517331932773,0.6770333426339286,0.6153984036796536,0.6858140557359307,0.6425748424369748,0.633016018907563,0.6253481506238859,0.6728686007805326
control_als_untreated_hnRNPA1_BIII,0.7807641806722689,0.8451122636554622,0.8005908613445378,0.7754261363636363,0.7881466649159664,0.8093651523109244,0.8302849264705884,0.7698824842436975,0.7333274762110726,0.7437158812388592
control_als_untreated_hnRNPA1_DAPI_BIII,0.8337020745798319,0.8291260822510823,0.8359965861344538,0.8244803292410714,0.8333400974025973,0.8678064123376624,0.8579634978991597,0.7934578518907563,0.767651236631016,0.8129017447199265
control_als_untreated_hnRNPA1_hnRNPA1,0.8705193014705883,0.8760822510822509,0.8691307773109244,0.8588947510822511,0.8339876575630252,0.8769596901260504,0.861219800420168,0.823990611869748,0.8083987856506241,0.8217503620766488
control_als_untreated_hnRNPA1_DAPI_BIII_hnRNPA1,0.9086200105042016,0.9126893939393941,0.9323660714285712,0.9249581473214288,0.8565171807359306,0.9372936958874458,0.9314108455882354,0.8678538602941175,0.8047501671122994,0.9156730658861341
control_als_untreated_hnRNPK_DAPI,0.6632954422577855,0.6230435924369747,0.6420712586505191,0.6029728084415584,0.6629004726890757,0.6900546064013842,0.6759125525210083,0.627414325105042,0.6419225778546713,0.6845415900735294
control_als_untreated_hnRNPK_BIII,0.7891084558823529,0.8087152048319327,0.8165835084033614,0.838268119747899,0.8013327205882353,0.7940162737889273,0.8440618434873951,0.7849428834033614,0.8043497938948306,0.8530459288494809
control_als_untreated_hnRNPK_DAPI_BIII,0.8218567528114187,0.8518710609243698,0.8423206368944636,0.8486640963203462,0.8471802783613445,0.8437500000000002,0.8950105042016807,0.8441931460084033,0.869687221479501,0.866944204152249
control_als_untreated_hnRNPK_hnRNPK,0.688210674894958,0.7479943539915967,0.7632325908304498,0.7823266806722688,0.7051667542016806,0.6189277411332179,0.7270253413865546,0.7246824866310161,0.7574121267825311,0.7007427281574394
control_als_untreated_hnRNPK_DAPI_BIII_hnRNPK,0.8282871972318341,0.8854680934873949,0.8720399005190311,0.8880309794372295,0.8736278886554623,0.8649336342993079,0.8991563813025208,0.8886649119875224,0.9038164271390374,0.8711680903979241
control_als_untreated_all_DAPI,,,,,,,,,,
control_als_untreated_all_BIII,,,,,,,,,,
control_als_untreated_all_DAPI_BIII,,,,,,,,,,
control_untreated_osmotic_SFPQ_DAPI,0.8956163194444444,0.9295454545454546,0.9155859375,0.9066840277777778,0.9667833116319444,0.8843620867768595,0.9536428740530304,0.9548746744791666,0.9455078125,0.9819878472222224
control_untreated_osmotic_SFPQ_BIII,0.9985758463541669,0.9959646177685948,0.9881844008264462,0.9983723958333334,0.9995659722222222,0.9909930268595042,0.98095703125,0.9837239583333334,0.9999644886363636,0.984619140625
control_untreated_osmotic_SFPQ_DAPI_BIII,0.9968668619791666,0.9971590909090908,0.9961371527777778,0.9817437065972222,0.9996202256944444,0.985989152892562,0.9951763731060606,0.9926486545138888,1.0,0.994086371527778
control_untreated_osmotic_SFPQ_SFPQ,0.9949544270833331,0.9866477272727272,0.9900213068181818,0.9700792100694444,0.9927300347222221,0.9771661931818184,0.9888671875,0.9824810606060606,0.9645596590909092,0.994525331439394
control_untreated_osmotic_SFPQ_DAPI_BIII_SFPQ,1.0,0.9997514204545456,1.0,0.9916178385416666,0.99853515625,0.9970525568181818,0.999855324074074,0.9950284090909092,0.9999609375,0.9982244318181818
control_untreated_osmotic_TDP-43_DAPI,0.95458984375,0.9952355587121212,0.9921875,0.9797905815972222,0.9784613715277776,0.9711371527777778,0.9803385416666668,0.9788411458333331,0.9749644886363638,0.9694552951388892
control_untreated_osmotic_TDP-43_BIII,0.9940518465909092,0.999408143939394,0.9952355587121212,0.9950086805555556,0.9999186197916666,0.9905327690972222,0.9977213541666666,0.9848904079861112,0.9953884548611112,0.996826171875
control_untreated_osmotic_TDP-43_DAPI_BIII,0.9993815104166668,0.9993489583333331,0.9969519412878788,0.9903700086805556,0.9986979166666666,0.9974500868055556,0.9998934659090908,0.9700792100694444,0.9973958333333334,0.9959309895833334
control_untreated_osmotic_TDP-43_TDP-43,0.99931640625,0.9996744791666669,0.9881036931818182,0.9655539772727272,0.9994032118055556,0.9939236111111112,0.9942858987603308,0.9741735537190084,0.9953835227272728,0.9967447916666666
control_untreated_osmotic_TDP-43_DAPI_BIII_TDP-43,1.0,0.9997040719696968,0.9980172821969696,0.9996448863636364,0.9998643663194444,0.9993760850694444,1.0,0.9926394628099172,0.9995561079545456,0.9999457465277778
control_untreated_osmotic_FUS_DAPI,0.9504530164930556,0.980224609375,0.9845241970486108,0.8967827690972222,0.9735378689236112,0.9922688802083334,0.9723578559027776,0.9533148871527776,0.966974431818182,0.9746537642045454
control_untreated_osmotic_FUS_BIII,0.9988335503472222,0.9978569878472222,0.9998101128472222,0.9998914930555556,0.99951171875,0.9999112215909092,0.9983723958333331,0.9998816287878788,0.9994834710743802,0.9997632575757576
control_untreated_osmotic_FUS_DAPI_BIII,0.9997016059027778,0.9985894097222222,0.9996473524305556,0.9997016059027778,0.9986165364583334,1.0,0.9969889322916666,0.999792850378788,0.9995480371900826,1.0
control_untreated_osmotic_FUS_FUS,0.9778645833333331,0.9323187934027776,0.9854871961805556,0.9604048295454546,0.9524739583333331,0.9846462673611112,0.9637044270833336,0.9926313920454546,0.98684465392562,0.9914772727272728
control_untreated_osmotic_FUS_DAPI_BIII_FUS,0.9995659722222222,0.996337890625,0.9999186197916666,0.999704071969697,0.99755859375,1.0,1.0,0.9999408143939392,0.9990315082644629,1.0
control_untreated_osmotic_hnRNPA1_DAPI,0.9737141927083334,0.9349907769097222,0.9580349392361112,0.96630859375,0.9735378689236112,0.9599609375,0.9409857855902778,0.9534505208333334,0.9844718491735538,0.91943359375
control_untreated_osmotic_hnRNPA1_BIII,0.9986165364583334,0.99658203125,0.9986436631944444,0.9997287326388888,0.9890950520833334,0.9999704071969696,0.9964735243055556,0.9997016059027778,0.9730113636363636,0.9864095052083331
control_untreated_osmotic_hnRNPA1_DAPI_BIII,0.9999186197916666,0.9971245659722222,0.9994845920138888,0.9997016059027778,0.9967447916666664,0.9997632575757576,0.9986979166666669,0.9999457465277778,1.0,0.9966362847222222
control_untreated_osmotic_hnRNPA1_hnRNPA1,0.9872775607638892,0.9934895833333334,0.9813639322916669,0.9877115885416666,0.9871961805555556,0.9844637784090908,0.9880445075757576,0.9822048611111112,0.985736268939394,0.9818386501736108
control_untreated_osmotic_hnRNPA1_DAPI_BIII_hnRNPA1,0.9997829861111112,0.996826171875,0.9997016059027778,1.0,0.9993760850694444,0.9999704071969696,0.9999704071969696,0.9999457465277778,1.0,0.9985622829861112
control_untreated_osmotic_hnRNPK_DAPI,0.9226236979166668,0.9450819227430556,0.9827473958333334,0.8959960937500001,0.96484375,0.9715711805555556,0.9879692925347222,0.9738843513257576,0.9175396543560608,0.949810606060606
control_untreated_osmotic_hnRNPK_BIII,0.9992947048611108,0.996389678030303,0.9966091579861112,0.9996473524305556,0.9979654947916666,0.9989420572916669,1.0,0.9996202256944444,0.9910210503472224,0.9998101128472222
control_untreated_osmotic_hnRNPK_DAPI_BIII,0.99951171875,0.9974846117424244,0.998046875,0.9998914930555556,0.9987250434027778,0.9999728732638888,1.0,0.9999112215909092,0.9923058712121212,0.9999112215909092
control_untreated_osmotic_hnRNPK_hnRNPK,0.9898082386363636,0.9547230113636364,0.9925672743055556,0.9851888020833334,0.9737413194444444,0.9822048611111112,0.9840494791666666,0.9893465909090908,0.9309008049242424,0.9915660511363636
control_untreated_osmotic_hnRNPK_DAPI_BIII_hnRNPK,0.999431818181818,0.9970703125,0.9995930989583334,0.9999728732638888,0.9991319444444444,0.9995930989583331,0.9999457465277778,1.0,0.9939630681818182,0.9991122159090908
control_untreated_osmotic_all_DAPI,,,,,,,,,,
control_untreated_osmotic_all_BIII,,,,,,,,,,
control_untreated_osmotic_all_DAPI_BIII,,,,,,,,,,
control_untreated_oxidative_SFPQ_DAPI,0.8005208333333333,0.7803710937499999,0.7248046874999999,0.5886718750000001,0.683837890625,0.80859375,0.8447265625,0.7361979166666666,0.79638671875,0.638671875
control_untreated_oxidative_SFPQ_BIII,0.92421875,0.86484375,0.975,0.90953125,0.8939453125000001,0.99140625,0.9943359375,0.9395833333333332,0.988525390625,0.870849609375
control_untreated_oxidative_SFPQ_DAPI_BIII,0.94140625,0.8820312499999999,0.971484375,0.8890625,0.8349609375,0.986572265625,0.9973958333333334,0.96171875,0.994140625,0.978515625
